127.0.0.1 - - [09/Oct/2024:08:05:27 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:45 +0700] "GET /BTWEB/ HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:50 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:53 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:53 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:54 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:54 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:54 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:54 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:54 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:54 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:55 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:55 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:55 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:55 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:55 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:55 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:55 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:56 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:56 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:56 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:56 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:56 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:05:56 +0700] "GET /BTWEB/home HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:06:04 +0700] "GET /BTWEB/login HTTP/1.1" 404 689
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:06:06 +0700] "GET /BTWEB/login HTTP/1.1" 404 689
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:06:06 +0700] "GET /BTWEB/login HTTP/1.1" 404 689
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:06:06 +0700] "GET /BTWEB/login HTTP/1.1" 404 689
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:06:06 +0700] "GET /BTWEB/login HTTP/1.1" 404 689
0:0:0:0:0:0:0:1 - - [09/Oct/2024:08:06:07 +0700] "GET /BTWEB/login HTTP/1.1" 404 689
